通報ID,三支業者通報時間,特店名稱,特店統一編號,特店地址,特店電話,特店註冊日期,特店網址,三支業者通報案由,三支業者示警,執法機構處理狀態,三支業者聯絡人,三支通報業者,特店成立至通報天數,跨業者通報數,是否跨業者重複通報,是否節慶高風險期間,節慶／消費檔期名稱,距節慶中心日天數,關聯群組,共用地址群組,共用電話群組,共用網址群組,建議綜合風險分數,資料性質
R00026,2025-01-17 11:25:00,百匯數位有限公司,25002533,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-19,https://www.goldtrade-shop-2.com,疑似洗錢,高,已通報執法機構,李佳穎,第三方支付B,333,3,是,是,春節,-12,G03,ADDR-G03,TEL-G03,WEB-G03,68,模擬資料
R00027,2025-01-17 14:29:00,創盈數位有限公司,25001490,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-04-21,https://www.fastmall-pay-3.com,疑似假交易真套現,中,尚未移送,黃郁涵,第三方支付B,271,3,是,是,春節,-12,G01,ADDR-G01,TEL-G01,WEB-G01,51,模擬資料
R00028,2025-01-17 22:25:00,聯盛電子商務有限公司,25000596,桃園市桃園區中正路520號10樓,03-335-8811,2024-08-07,https://www.superdeal-tw-1.com,疑似假交易真套現,高,要求補充資料,周柏廷,第三方支付C,163,3,是,是,春節,-12,G05,ADDR-G05,TEL-G05,WEB-G05,75,模擬資料
R00029,2025-01-18 12:47:00,萬禾行銷有限公司,25005960,台南市中西區民生路二段162號2樓,03-7443-6042,2024-10-03,https://www.shop1040-tw.com,疑似人頭特店,低,調查中,李佳穎,第三方支付B,107,3,是,是,春節,-11,,,,,52,模擬資料
R00032,2025-01-18 17:03:00,優選商行,25007003,台北市信義區松仁路193號13樓,07-4616-6615,2024-04-06,https://www.shop1047-tw.com,疑似洗錢,低,結案未確認違法,林志豪,第三方支付A,287,2,是,是,春節,-11,,,,,46,模擬資料
R00030,2025-01-18 21:33:00,聯盛行銷有限公司,25017284,台中市北屯區崇德路二段207號2樓,02-7150-8007,2024-09-25,https://www.shop1116-tw.com,疑似人頭特店,低,尚未移送,吳佩珊,第三方支付C,115,3,是,是,春節,-11,,,,,49,模擬資料
R00031,2025-01-18 21:46:00,富邦達電子商務有限公司,25001192,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-17,https://www.easybonus-market-1.com,疑似人頭特店,中,尚未移送,李佳穎,第三方支付B,93,3,是,是,春節,-11,G04,ADDR-G04,TEL-G04,WEB-G04,69,模擬資料
R00033,2025-01-19 10:35:00,百匯行銷有限公司,25004768,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-06-18,https://www.goldtrade-shop-1.com,疑似假交易真套現,中,要求補充資料,黃郁涵,第三方支付B,215,3,是,是,春節,-10,G03,ADDR-G03,TEL-G03,WEB-G03,56,模擬資料
R00034,2025-01-19 16:25:00,鑫盛數位有限公司,25007599,高雄市三民區建國二路77號15樓,07-7867-9055,2024-11-09,https://www.shop1051-tw.com,大量退款與取消交易,高,已移送偵辦,王怡婷,第三方支付A,71,3,是,是,春節,-10,,,,,73,模擬資料
R00036,2025-01-20 08:04:00,宏富數位有限公司,25010579,台南市中西區民生路二段200號3樓,04-9141-1105,2024-10-12,https://www.shop1071-tw.com,疑似假投資平台收款,中,要求補充資料,吳佩珊,第三方支付C,100,3,是,是,春節,-9,,,,,59,模擬資料
R00035,2025-01-20 08:10:00,誠品達行銷有限公司,25013857,台北市大安區復興南路一段30號8樓,02-8069-3054,2024-12-07,https://www.shop1093-tw.com,疑似串接博弈網站,高,調查中,吳佩珊,第三方支付C,44,2,是,是,春節,-9,,,,,57,模擬資料
R00037,2025-01-20 13:35:00,宏富數位有限公司,25009983,台南市中西區民生路二段210號11樓,07-2498-7045,2024-10-31,https://www.shop1067-tw.com,疑似假投資平台收款,中,已通報執法機構,吳佩珊,第三方支付C,81,3,是,是,春節,-9,,,,,60,模擬資料
R00038,2025-01-20 13:49:00,大洋數位有限公司,25011026,新北市新莊區中正路208號14樓,07-5681-9117,2024-08-13,https://www.shop1074-tw.com,疑似假交易真套現,中,調查中,周柏廷,第三方支付C,160,3,是,是,春節,-9,,,,,57,模擬資料
R00042,2025-01-21 09:29:00,誠品達電子商務有限公司,25009387,台中市北屯區崇德路二段298號2樓,02-5346-1028,2024-04-14,https://www.shop1063-tw.com,疑似人頭特店,低,要求補充資料,黃郁涵,第三方支付B,282,3,是,是,春節,-8,,,,,48,模擬資料
R00043,2025-01-21 14:59:00,聯盛商行,25006705,台北市信義區松仁路196號12樓,03-7156-3002,2024-09-21,https://www.shop1045-tw.com,疑似假交易真套現,中,調查中,林志豪,第三方支付A,122,3,是,是,春節,-8,,,,,71,模擬資料
R00039,2025-01-21 15:42:00,飛躍電子商務有限公司,25007897,台南市中西區民生路二段28號4樓,07-6554-6616,2024-09-15,https://www.shop1053-tw.com,多筆交易來源高度集中,低,已通報執法機構,李佳穎,第三方支付B,128,3,是,是,春節,-8,,,,,54,模擬資料
R00040,2025-01-21 17:04:00,富邦達行銷有限公司,25012963,台北市大安區復興南路一段293號4樓,05-9521-8179,2024-10-18,https://www.shop1087-tw.com,疑似洗錢,中,調查中,陳冠宇,第三方支付A,95,3,是,是,春節,-8,,,,,64,模擬資料
R00041,2025-01-21 17:10:00,豐盛數位有限公司,25000000,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-09-03,https://www.fastmall-pay-1.com,疑似洗錢,高,確認涉詐,林志豪,第三方支付A,140,3,是,是,春節,-8,G01,ADDR-G01,TEL-G01,WEB-G01,82,模擬資料
R00045,2025-01-22 13:43:00,富邦達數位有限公司,25004172,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-11,https://www.easybonus-market-1.com,多筆交易來源高度集中,高,調查中,王怡婷,第三方支付A,133,3,是,是,春節,-7,G04,ADDR-G04,TEL-G04,WEB-G04,77,模擬資料
R00044,2025-01-22 22:41:00,聯盛商行,25006705,台北市信義區松仁路196號12樓,03-7156-3002,2024-09-21,https://www.shop1045-tw.com,疑似串接博弈網站,高,調查中,王怡婷,第三方支付A,123,3,是,是,春節,-7,,,,,79,模擬資料
R00046,2025-01-23 16:00:00,飛躍國際有限公司,25016986,桃園市桃園區中正路48號15樓,05-5792-7719,2024-12-23,https://www.shop1114-tw.com,短期交易量異常成長,中,尚未移送,林志豪,第三方支付A,31,2,是,是,春節,-6,,,,,58,模擬資料
R00047,2025-01-23 17:31:00,飛躍商行,25011920,台中市北屯區崇德路二段261號15樓,05-9805-6623,2024-12-03,https://www.shop1080-tw.com,疑似假交易真套現,低,尚未移送,王怡婷,第三方支付A,51,3,是,是,春節,-6,,,,,55,模擬資料
R00048,2025-01-23 21:48:00,萬禾國際有限公司,25011175,高雄市三民區建國二路267號13樓,07-7915-8082,2024-10-09,https://www.shop1075-tw.com,異常大量交易,中,已通報執法機構,林志豪,第三方支付A,106,3,是,是,春節,-6,,,,,57,模擬資料
R00053,2025-01-24 08:39:00,樂購科技有限公司,25003576,桃園市桃園區中正路520號10樓,03-335-8811,2024-04-29,https://www.superdeal-tw-1.com,疑似假投資平台收款,中,已通報執法機構,吳佩珊,第三方支付C,270,3,是,是,春節,-5,G05,ADDR-G05,TEL-G05,WEB-G05,56,模擬資料
R00050,2025-01-24 11:27:00,鑫盛電子商務有限公司,25000745,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-29,https://www.fastmall-pay-2.com,疑似人頭特店,中,調查中,陳冠宇,第三方支付A,301,3,是,是,春節,-5,G01,ADDR-G01,TEL-G01,WEB-G01,54,模擬資料
R00052,2025-01-24 16:40:00,金典國際有限公司,25010877,台中市北屯區崇德路二段269號10樓,06-5072-5146,2024-02-25,https://www.shop1073-tw.com,疑似假交易真套現,中,尚未移送,蔡承翰,第三方支付C,334,3,是,是,春節,-5,,,,,39,模擬資料
R00049,2025-01-24 19:38:00,百匯行銷有限公司,25016092,台南市中西區民生路二段62號9樓,06-4825-7451,2024-10-27,https://www.shop1108-tw.com,疑似假交易真套現,中,調查中,李佳穎,第三方支付B,89,3,是,是,春節,-5,,,,,58,模擬資料
R00051,2025-01-24 22:36:00,領航科技有限公司,25014900,台南市中西區民生路二段282號2樓,07-7106-7293,2025-01-16,https://www.shop1100-tw.com,短期交易量異常成長,高,要求補充資料,張家維,第三方支付B,8,3,是,是,春節,-5,,,,,68,模擬資料
R00054,2025-01-25 13:25:00,領航行銷有限公司,25008493,台北市信義區松仁路252號7樓,07-8157-3789,2024-09-24,https://www.shop1057-tw.com,多筆交易來源高度集中,中,要求補充資料,吳佩珊,第三方支付C,123,3,是,是,春節,-4,,,,,48,模擬資料
R00055,2025-01-26 15:19:00,新曜商行,25003427,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-01,https://www.easybonus-market-4.com,疑似假交易真套現,中,要求補充資料,周柏廷,第三方支付C,117,3,是,是,春節,-3,G04,ADDR-G04,TEL-G04,WEB-G04,82,模擬資料
R00059,2025-01-27 12:13:00,鑫盛數位有限公司,25007599,高雄市三民區建國二路77號15樓,07-7867-9055,2024-11-09,https://www.shop1051-tw.com,疑似假投資平台收款,高,確認涉詐,吳佩珊,第三方支付C,79,3,是,是,春節,-2,,,,,80,模擬資料
R00060,2025-01-27 15:14:00,聯盛行銷有限公司,25017284,台中市北屯區崇德路二段207號2樓,02-7150-8007,2024-11-02,https://www.shop1116-tw.com,疑似假交易真套現,中,調查中,林志豪,第三方支付A,86,3,是,是,春節,-2,,,,,71,模擬資料
R00057,2025-01-27 15:58:00,富邦達電子商務有限公司,25001192,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-10-17,https://www.easybonus-market-1.com,疑似假投資平台收款,中,調查中,周柏廷,第三方支付C,102,3,是,是,春節,-2,G04,ADDR-G04,TEL-G04,WEB-G04,81,模擬資料
R00056,2025-01-27 16:29:00,領航電子商務有限公司,25008344,台北市大安區復興南路一段254號14樓,05-9224-3857,2024-03-11,https://www.shop1056-tw.com,異常大量交易,中,調查中,蔡承翰,第三方支付C,322,3,是,是,春節,-2,,,,,48,模擬資料
R00058,2025-01-27 22:16:00,宏富行銷有限公司,25006854,高雄市三民區建國二路112號7樓,03-5344-7015,2024-09-30,https://www.shop1046-tw.com,特店網站內容與申請業態不符,中,要求補充資料,陳冠宇,第三方支付A,119,3,是,是,春節,-2,,,,,64,模擬資料
R00064,2025-01-28 09:20:00,創盈電子商務有限公司,25002682,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-16,https://www.easybonus-market-3.com,疑似人頭特店,高,要求補充資料,張家維,第三方支付B,134,3,是,是,春節,-1,G04,ADDR-G04,TEL-G04,WEB-G04,75,模擬資料
R00061,2025-01-28 19:31:00,萬禾行銷有限公司,25005364,台南市中西區民生路二段87號13樓,02-8910-7869,2024-07-10,https://www.shop1036-tw.com,疑似洗錢,中,已通報執法機構,張家維,第三方支付B,202,3,是,是,春節,-1,,,,,52,模擬資料
R00063,2025-01-28 20:04:00,百匯電子商務有限公司,25001043,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-03-04,https://www.goldtrade-shop-4.com,疑似串接博弈網站,中,尚未移送,張家維,第三方支付B,330,3,是,是,春節,-1,G03,ADDR-G03,TEL-G03,WEB-G03,62,模擬資料
R00062,2025-01-28 22:21:00,鼎盛科技有限公司,25001788,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-11-06,https://www.goldtrade-shop-1.com,疑似假投資平台收款,中,調查中,林志豪,第三方支付A,83,3,是,是,春節,-1,G03,ADDR-G03,TEL-G03,WEB-G03,92,模擬資料
R00067,2025-01-29 09:24:00,大洋科技有限公司,25002235,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-07,https://www.fastmall-pay-4.com,疑似串接博弈網站,中,調查中,李佳穎,第三方支付B,328,3,是,是,春節,0,G01,ADDR-G01,TEL-G01,WEB-G01,67,模擬資料
R00068,2025-01-29 13:53:00,易享國際有限公司,25013410,桃園市桃園區中正路125號5樓,03-2061-5113,2025-01-08,https://www.shop1090-tw.com,異常大量交易,中,尚未移送,周柏廷,第三方支付C,21,3,是,是,春節,0,,,,,61,模擬資料
R00066,2025-01-29 14:24:00,捷利商行,25002384,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-13,https://www.bestdeal-tw-1.com,疑似假交易真套現,中,要求補充資料,林志豪,第三方支付A,108,3,是,是,春節,0,G02,ADDR-G02,TEL-G02,WEB-G02,67,模擬資料
R00065,2025-01-29 20:22:00,創盈科技有限公司,25015049,新北市新莊區中正路207號5樓,03-8448-8627,2025-01-10,https://www.shop1101-tw.com,疑似假交易真套現,高,已移送偵辦,林志豪,第三方支付A,19,3,是,是,春節,0,,,,,72,模擬資料
R00070,2025-01-30 09:31:00,鼎盛科技有限公司,25001788,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-11-06,https://www.goldtrade-shop-1.com,特店網站內容與申請業態不符,高,確認涉詐,周柏廷,第三方支付C,85,3,是,是,春節,1,G03,ADDR-G03,TEL-G03,WEB-G03,81,模擬資料
R00069,2025-01-30 13:03:00,金曜商行,25012516,台南市中西區民生路二段29號8樓,05-8255-6727,2024-12-29,https://www.shop1084-tw.com,疑似假交易真套現,中,調查中,王怡婷,第三方支付A,32,3,是,是,春節,1,,,,,57,模擬資料
R00072,2025-01-30 15:24:00,宏富數位有限公司,25010579,台南市中西區民生路二段200號3樓,04-9141-1105,2024-10-12,https://www.shop1071-tw.com,疑似串接博弈網站,中,已通報執法機構,張家維,第三方支付B,110,3,是,是,春節,1,,,,,55,模擬資料
R00071,2025-01-30 15:54:00,昇泰國際有限公司,25001341,桃園市桃園區中正路520號10樓,03-335-8811,2024-10-02,https://www.superdeal-tw-2.com,疑似人頭特店,高,要求補充資料,陳冠宇,第三方支付A,120,3,是,是,春節,1,G05,ADDR-G05,TEL-G05,WEB-G05,73,模擬資料
R00073,2025-01-30 20:14:00,易享行銷有限公司,25009238,台北市大安區復興南路一段125號6樓,06-4230-2649,2024-06-04,https://www.shop1062-tw.com,異常大量交易,中,要求補充資料,王怡婷,第三方支付A,240,3,是,是,春節,1,,,,,50,模擬資料
R00077,2025-01-31 08:23:00,昇泰商行,25014602,台北市大安區復興南路一段257號2樓,02-6258-6137,2025-01-12,https://www.shop1098-tw.com,疑似假投資平台收款,中,要求補充資料,吳佩珊,第三方支付C,19,3,是,是,春節,2,,,,,66,模擬資料
R00074,2025-01-31 10:41:00,金典數位有限公司,25016390,新竹市東區光復路二段86號15樓,06-2895-6949,2025-01-02,https://www.shop1110-tw.com,特店網站內容與申請業態不符,高,要求補充資料,王怡婷,第三方支付A,29,3,是,是,春節,2,,,,,71,模擬資料
R00076,2025-01-31 11:10:00,鑫盛電子商務有限公司,25000745,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-03-29,https://www.fastmall-pay-2.com,疑似人頭特店,低,已通報執法機構,李佳穎,第三方支付B,308,3,是,是,春節,2,G01,ADDR-G01,TEL-G01,WEB-G01,62,模擬資料
R00075,2025-01-31 15:10:00,宏富電子商務有限公司,25002831,桃園市桃園區中正路520號10樓,03-335-8811,2024-06-10,https://www.superdeal-tw-4.com,特店網站內容與申請業態不符,高,已通報執法機構,張家維,第三方支付B,235,3,是,是,春節,2,G05,ADDR-G05,TEL-G05,WEB-G05,57,模擬資料
R00078,2025-01-31 16:28:00,樂購數位有限公司,25001639,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-25,https://www.bestdeal-tw-4.com,疑似假交易真套現,中,已通報執法機構,李佳穎,第三方支付B,281,3,是,是,春節,2,G02,ADDR-G02,TEL-G02,WEB-G02,55,模擬資料
R00079,2025-01-31 19:28:00,萬禾行銷有限公司,25005960,台南市中西區民生路二段162號2樓,03-7443-6042,2024-10-03,https://www.shop1040-tw.com,疑似假交易真套現,高,要求補充資料,蔡承翰,第三方支付C,120,3,是,是,春節,2,,,,,66,模擬資料
R00081,2025-02-01 20:24:00,宏富數位有限公司,25009983,台南市中西區民生路二段210號11樓,07-2498-7045,2024-10-31,https://www.shop1067-tw.com,疑似洗錢,高,要求補充資料,張家維,第三方支付B,93,3,是,是,春節,3,,,,,71,模擬資料
R00080,2025-02-01 22:59:00,金曜商行,25012516,台南市中西區民生路二段29號8樓,05-8255-6727,2024-11-21,https://www.shop1084-tw.com,多筆交易來源高度集中,高,調查中,黃郁涵,第三方支付B,72,3,是,是,春節,3,,,,,77,模擬資料
R00082,2025-02-02 17:32:00,嘉禾科技有限公司,25006556,台南市中西區民生路二段132號15樓,06-5800-7245,2024-05-10,https://www.shop1044-tw.com,疑似人頭特店,低,尚未移送,黃郁涵,第三方支付B,268,3,是,是,春節,4,,,,,34,模擬資料
R00083,2025-02-02 18:17:00,樂購國際有限公司,25004321,桃園市桃園區中正路520號10樓,03-335-8811,2024-05-30,https://www.superdeal-tw-2.com,多筆交易來源高度集中,高,要求補充資料,陳冠宇,第三方支付A,248,3,是,是,春節,4,G05,ADDR-G05,TEL-G05,WEB-G05,71,模擬資料
R00084,2025-02-03 15:51:00,萬禾行銷有限公司,25005364,台南市中西區民生路二段87號13樓,02-8910-7869,2024-07-10,https://www.shop1036-tw.com,疑似假交易真套現,中,尚未移送,林志豪,第三方支付A,208,3,是,是,春節,5,,,,,55,模擬資料
R00086,2025-02-03 19:38:00,聚鑫數位有限公司,25001937,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-01,https://www.easybonus-market-2.com,疑似假交易真套現,高,調查中,黃郁涵,第三方支付B,155,3,是,是,春節,5,G04,ADDR-G04,TEL-G04,WEB-G04,75,模擬資料
R00085,2025-02-03 19:51:00,領航科技有限公司,25014900,台南市中西區民生路二段282號2樓,07-7106-7293,2025-01-16,https://www.shop1100-tw.com,異常大量交易,高,要求補充資料,林志豪,第三方支付A,18,3,是,是,春節,5,,,,,66,模擬資料
R00090,2025-02-04 11:04:00,聯盛國際有限公司,25015794,台南市中西區民生路二段83號13樓,05-9511-5748,2025-01-27,https://www.shop1106-tw.com,異常大量交易,低,調查中,張家維,第三方支付B,8,2,是,是,春節,6,,,,,58,模擬資料
R00087,2025-02-04 12:05:00,飛躍電子商務有限公司,25007897,台南市中西區民生路二段28號4樓,07-6554-6616,2024-09-15,https://www.shop1053-tw.com,疑似洗錢,中,已通報執法機構,蔡承翰,第三方支付C,142,3,是,是,春節,6,,,,,64,模擬資料
R00092,2025-02-04 15:42:00,樂購商行,25012069,桃園市桃園區中正路44號7樓,02-8482-6543,2024-10-16,https://www.shop1081-tw.com,疑似假交易真套現,高,要求補充資料,林志豪,第三方支付A,111,3,是,是,春節,6,,,,,58,模擬資料
R00089,2025-02-04 19:19:00,昇泰科技有限公司,25005513,台中市北屯區崇德路二段95號10樓,02-3433-7687,2024-08-30,https://www.shop1037-tw.com,疑似假交易真套現,中,已通報執法機構,黃郁涵,第三方支付B,158,3,是,是,春節,6,,,,,64,模擬資料
R00091,2025-02-04 20:24:00,宏富行銷有限公司,25006854,高雄市三民區建國二路112號7樓,03-5344-7015,2024-09-30,https://www.shop1046-tw.com,異常大量交易,低,尚未移送,陳冠宇,第三方支付A,127,3,是,是,春節,6,,,,,45,模擬資料
R00088,2025-02-04 21:35:00,萬禾行銷有限公司,25005960,台南市中西區民生路二段162號2樓,03-7443-6042,2024-10-03,https://www.shop1040-tw.com,大量退款與取消交易,低,已通報執法機構,王怡婷,第三方支付A,124,3,是,是,春節,6,,,,,62,模擬資料
R00094,2025-02-05 12:37:00,宏富行銷有限公司,25006854,高雄市三民區建國二路112號7樓,03-5344-7015,2024-09-30,https://www.shop1046-tw.com,異常大量交易,中,要求補充資料,黃郁涵,第三方支付B,128,3,是,是,春節,7,,,,,58,模擬資料
R00093,2025-02-05 15:51:00,萬禾行銷有限公司,25005364,台南市中西區民生路二段87號13樓,02-8910-7869,2024-07-10,https://www.shop1036-tw.com,疑似人頭特店,中,尚未移送,吳佩珊,第三方支付C,210,3,是,是,春節,7,,,,,61,模擬資料
R00095,2025-02-05 17:39:00,金典國際有限公司,25003278,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-07-05,https://www.goldtrade-shop-3.com,疑似洗錢,中,調查中,吳佩珊,第三方支付C,215,3,是,是,春節,7,G03,ADDR-G03,TEL-G03,WEB-G03,65,模擬資料
R00096,2025-02-05 19:05:00,捷利科技有限公司,25014006,高雄市三民區建國二路260號2樓,07-2129-9774,2024-12-29,https://www.shop1094-tw.com,疑似人頭特店,高,要求補充資料,王怡婷,第三方支付A,38,1,否,是,春節,7,,,,,61,模擬資料
